Building_ID,Surface,Age,Type,Heating_Type,Insulation_Level,Windows_Type,Outside_Temperature,Number_of_Rooms,Occupancy_Rate,Roof_Type,Wall_Material,Elevator_Presence,Basement_Presence,Energy_Rating,Parking_Spaces,LED_Lighting,Energy_Management_System,Residents_Count,Distance_From_City_Center,Energy_Consumption
9254,74,77,Residential,Central,Medium,Single,10.930825313594775,2,0.4733961454568254,Pitched,Glass,True,False,B,1,True,True,1,30.9530479299565,125.91411559197195
1561,162,15,Commercial,Central,Medium,Triple,12.71215169800585,9,0.834339591754287,Pitched,Concrete,True,True,E,3,False,False,1,34.13651352540765,454.29804626584604
1670,167,12,Residential,Individual,Medium,Triple,-2.178965641292654,9,0.3089769878293082,Pitched,Wood,False,True,C,1,False,False,6,14.594544139791527,1003.7471127834831
6087,155,80,Residential,Individual,Low,Double,14.118067489487224,8,0.5618020524342812,Pitched,Brick,False,True,C,3,True,False,2,21.41510432678204,181.7866358545674
6669,174,84,Commercial,Individual,Medium,Double,17.246019536171236,1,0.7001754305716071,Flat,Concrete,False,False,E,0,False,False,2,37.06216953657465,273.7487387332678
5933,374,5,Residential,Gas,Low,Triple,14.843622363671496,4,0.541987375294729,Flat,Wood,True,False,D,0,True,False,3,14.090803363837718,825.6382015865695
8829,455,61,Commercial,Gas,Medium,Single,2.9406651749789576,3,0.8847186035127237,Pitched,Brick,False,True,A,4,False,False,7,16.98798604237771,1272.9855555149009
7945,358,92,Commercial,Electric,Low,Double,27.88751244627391,1,0.9505811854302354,Flat,Concrete,False,False,A,2,True,True,2,31.41229800310993,824.1339652345573
3508,405,38,Industrial,Individual,Medium,Triple,15.759000510055234,7,0.8776871394613545,Pitched,Glass,True,True,D,1,False,True,6,10.377303717131188,847.3632930222612
2002,84,80,Commercial,Individual,Medium,Single,2.1228190486158827,3,0.3550942059700861,Pitched,Concrete,False,False,E,3,False,False,9,31.876093958632367,576.3945567027492
5866,86,3,Commercial,Electric,High,Single,9.62277236861716,9,0.35487139407713664,Pitched,Concrete,False,False,E,1,False,False,9,7.92251689549567,162.52418759863104
168,394,74,Residential,Gas,High,Single,7.455717097301866,1,0.12651316326741632,Pitched,Concrete,False,True,D,4,True,False,1,13.288246068337461,5228.1286344035925
2588,72,40,Industrial,Individual,Medium,Triple,5.03302893038879,1,0.1222359910354428,Flat,Wood,False,True,B,3,True,False,3,37.565222833784105,288.4999049151202
5905,166,36,Industrial,Central,Low,Single,29.829771218024185,8,0.2799096381585137,Pitched,Concrete,True,False,A,2,True,True,2,12.767969229478021,1168.2635969357652
9529,102,76,Residential,Central,High,Single,27.309411404518606,2,0.5102057426607407,Flat,Concrete,False,True,E,0,True,False,9,13.55888203798936,243.94963817192482
6384,196,42,Industrial,Central,High,Triple,20.81502309622584,2,0.4634713241868118,Pitched,Wood,True,False,D,3,False,True,2,32.9835146382646,1036.6389682859847
7824,328,97,Industrial,Central,Low,Double,23.044124742067005,7,0.8797421240876029,Flat,Concrete,False,True,A,3,True,False,7,49.33397102878039,909.6984959044846
9779,486,33,Industrial,Individual,Medium,Double,21.136468512831833,5,0.8891968184694093,Flat,Glass,False,True,A,4,False,False,2,25.40846233356485,776.6287703147793
4629,317,77,Industrial,Central,Medium,Single,27.842231972709186,5,0.15210534759122973,Flat,Concrete,False,False,A,4,False,True,6,48.08446109890142,993.378310107487
8560,400,71,Industrial,Gas,High,Single,-2.7996872457916067,3,0.6207350137255234,Flat,Brick,False,True,C,0,True,False,1,45.42869533264159,1164.9605733427015
9291,374,50,Industrial,Central,Low,Triple,-1.3590073254678825,2,0.4811135991946449,Flat,Glass,True,True,B,1,True,False,8,19.964695712798438,575.7598158051309
6874,470,28,Residential,Individual,High,Single,-4.568474393374877,3,0.7945712076294599,Flat,Wood,True,False,C,2,True,True,9,35.94372407585516,735.1018631352271
6521,204,30,Residential,Gas,Medium,Double,27.233728778532686,5,0.15641706729541555,Flat,Wood,False,False,D,1,False,False,6,29.532991761208724,1433.641646106736
8979,483,99,Industrial,Central,Low,Single,25.206888035539922,6,0.9196021282760113,Pitched,Glass,False,False,A,0,True,True,5,9.822224936516657,670.1333860801607
6647,368,93,Commercial,Electric,Medium,Double,16.284476092764024,7,0.3440578372706409,Flat,Concrete,False,True,B,3,False,True,9,2.0701261613935404,2617.2027380018208
9825,57,34,Residential,Central,Medium,Triple,-4.641916331383755,4,0.7768215989637096,Flat,Concrete,True,True,E,4,False,False,7,18.791255945197456,32.38529224131539
210,482,30,Commercial,Individual,Medium,Double,-0.5301220805722657,5,0.613290395811008,Pitched,Glass,True,False,E,1,True,False,3,32.74411974120653,377.7527672329601
5278,427,73,Industrial,Gas,High,Triple,22.548192866192473,5,0.5481816616928081,Pitched,Glass,True,True,B,2,False,False,9,12.631232587702344,1479.181693234004
1919,173,98,Residential,Gas,Low,Single,22.048355048442684,9,0.5501465082669059,Pitched,Glass,False,True,E,3,False,True,3,48.39085288903131,228.7583502539584
718,191,1,Residential,Individual,High,Double,18.93521128795392,2,0.621921136824606,Flat,Concrete,True,True,E,0,False,True,1,47.955535975684384,718.3949547757659
4868,416,69,Commercial,Central,High,Single,18.213224834166606,4,0.3017020884551286,Pitched,Wood,False,False,E,2,True,False,7,26.725240860632812,3367.0522745308963
7834,344,94,Residential,Central,Medium,Triple,20.914186003072686,5,0.6927937035470557,Flat,Brick,False,False,E,4,True,True,9,33.33147924822179,811.5807728481897
1298,189,56,Residential,Electric,Low,Single,12.855451582939178,4,0.5208536229818795,Pitched,Brick,False,True,A,3,True,True,4,13.717630085668834,605.7127232843815
